iteration,rho,residual,objective
1,0.5,0.3862246925631328,1315.1795181438788
2,0.5,0.3581778678122121,1304.127610216249
3,0.5,0.33380286121234,1294.5905357328193
4,0.5,0.31124727920522793,1286.3389443530298
5,0.5,0.2890666333897217,1279.1682743723488
6,0.5,0.2663915818160732,1272.8996528033324
7,0.5,0.24300999920902305,1267.3807779975077
8,0.5,0.21931279885322894,1262.4863222771544
9,0.5,0.19609618026485845,1258.1174923839453
10,0.5,0.17427952657460816,1254.200519587026
11,0.5,0.1546392809180561,1250.6840050737069
12,0.5,0.1376428475965334,1247.5352035407673
13,0.5,0.12340760015155877,1244.7354720050228
14,0.5,0.11175352810394303,1242.2752264233857
15,0.5,0.10229647201516098,1240.1488234922135
16,0.5,0.09454105398483502,1238.3498111511772
17,0.5,0.08795703357856331,1236.8669663169135
18,0.5,0.08204114461003852,1235.6814652713451
19,0.5,0.07637149597214762,1234.7654192395291
20,0.5,0.07065558271433083,1234.0818676690903
21,0.5,0.0647629094447797,1233.5861701816602
22,0.5,0.05872800979973998,1233.228591962411
23,0.5,0.052715642863020024,1232.9577527327428
24,0.5,0.04695564280497302,1232.7245202638044
25,0.5,0.04166986377971214,1232.4858855673428
26,0.5,0.03701641990488896,1232.2083633688778
27,0.5,0.033065083575414586,1231.8705176007584
28,0.5,0.029801527697330032,1231.4643113451039
29,0.5,0.02714807736810495,1230.9951129996448
30,0.5,0.024988368193374563,1230.4803409208796
31,0.5,0.023188895104777216,1229.9468809023872
32,0.5,0.021616247576743037,1229.4275478701834
33,0.5,0.020151683521902476,1228.956970074767
34,0.5,0.01870425814038981,1228.567339095592
35,0.5,0.017221351229096928,1228.2844850169822
36,0.5,0.015693275755574054,1228.1247014434744
37,0.5,0.014148788018559205,1228.0926634377574
38,0.5,0.01264142362453509,1228.1806619857903
39,0.5,0.011230905753553162,1228.369234390527
40,0.5,0.00996623756480343,1228.6291169568606
1,1.5,0.3395381912642926,1310.2045181438787
2,1.5,0.2768190259628254,1295.714134309055
3,1.5,0.2267962341182424,1283.9101049781077
4,1.5,0.1859087977643346,1274.2764643475255
5,1.5,0.15178922299582026,1266.385093550184
6,1.5,0.12297365031229185,1259.8840308105398
7,1.5,0.0986198429779051,1254.4879853232512
8,1.5,0.0782443045353791,1249.9701933843887
9,1.5,0.06150444249651501,1246.1549505780197
10,1.5,0.0480543069594568,1242.9103606869699
11,1.5,0.03748472792073115,1240.1410487963094
12,1.5,0.029331669638365566,1237.780779139616
13,1.5,0.023119244482437254,1235.7850838190402
14,1.5,0.018405243532203797,1234.124134510629
15,1.5,0.01481117714237031,1232.7761668025837
16,1.5,0.01203366603197586,1231.72179149107
17,1.5,0.009842301924512806,1230.9394996380668
18,1.5,0.008070610998832559,1230.402594278845
19,1.5,0.006604722821686143,1230.0776717621118
20,1.5,0.005371781953867877,1229.9246437756317
21,1.5,0.004328593860193803,1229.8981532055695
22,1.5,0.0034507569098169476,1229.9501095329335
23,1.5,0.002723059835703803,1230.0329675424507
24,1.5,0.002132328258259285,1230.1033087711278
25,1.5,0.0016635541708515105,1230.1252661301578
26,1.5,0.0012991457427385118,1230.073361152019
27,1.5,0.001020191453275909,1229.9343976144903
28,1.5,0.0008083495081513736,1229.7081670763262
29,1.5,0.0006473636707086354,1229.406859131992
30,1.5,0.0005238364765805991,1229.053217099422
31,1.5,0.0004273527380571392,1228.677622322748
32,1.5,0.0003502154773294121,1228.31441178976
33,1.5,0.0002870218492178648,1227.9978210953107
34,1.5,0.00023420313622571234,1227.7579884286993
35,1.5,0.00018956931366960242,1227.6174505153506
36,1.5,0.00015186686022335578,1227.5885089012872
37,1.5,0.00012036971790395362,1227.67175048099
38,1.5,9.454587437663377e-05,1227.8558801893532
39,1.5,7.384310926280561e-05,1228.1188802181591
40,1.5,5.760696856218189e-05,1228.4303648159926
1,4.0,0.3650035556091145,1315.1795181438788
2,4.0,0.3198989868782901,1304.127610216249
3,4.0,0.2817482529068609,1294.5905357328193
4,4.0,0.24827546238496287,1286.3389443530298
5,4.0,0.21791305992964194,1279.1682743723488
6,4.0,0.18978542213983618,1272.8996528033324
7,4.0,0.1636151656850866,1267.3807779975077
8,4.0,0.13954698211534347,1262.4863222771544
9,4.0,0.11791869506852276,1258.1174923839453
10,4.0,0.09904144334139178,1254.200519587026
11,4.0,0.08305149789456746,1250.6840050737069
12,4.0,0.06986157235004685,1247.5352035407673
13,4.0,0.059194815717165485,1244.7354720050228
14,4.0,0.050659403032912706,1242.2752264233857
15,4.0,0.04382445661500909,1240.1488234922135
16,4.0,0.03827660253528267,1238.3498111511772
17,4.0,0.03365430107753207,1236.8669663169135
18,4.0,0.029665984909458293,1235.6814652713451
19,4.0,0.02609849219058031,1234.7654192395291
20,4.0,0.02281852988298225,1234.0818676690903
21,4.0,0.019766263855875932,1233.5861701816602
22,4.0,0.0169394997125673,1233.228591962411
23,4.0,0.014369837675599748,1232.9577527327428
24,4.0,0.012096429660142882,1232.7245202638044
25,4.0,0.01014491829800057,1232.4858855673428
26,4.0,0.008516829341554358,1232.2083633688778
27,4.0,0.007189690835855671,1231.8705176007584
28,4.0,0.0061240140364653955,1231.4643113451039
29,4.0,0.0052722231888562955,1230.9951129996448
30,4.0,0.004586164878810498,1230.4803409208796
31,4.0,0.00402206312694142,1229.9468809023872
32,4.0,0.003543285861636782,1229.4275478701834
33,4.0,0.0031217223841017157,1228.956970074767
34,4.0,0.0027382966240481164,1228.567339095592
35,4.0,0.002382672138856999,1228.2844850169822
36,4.0,0.002051954503554736,1228.1247014434744
37,4.0,0.0017483582212075247,1228.0926634377574
38,4.0,0.0014762646627244278,1228.1806619857903
39,4.0,0.0012394815905221479,1228.369234390527
40,4.0,0.0010394739070619162,1228.6291169568606
