suppliers,customers,modes,periods,scenarios,arc_variables,decision_cells,runtime_sec,peak_memory_mb,final_residual
2,4,2,6,20,16,1920,0.0008583129999948369,0.063568115234375,0.008816317275506387
4,6,3,12,50,72,43200,0.0019728159999914396,1.03387451171875,0.008791921835119345
6,10,3,18,100,180,324000,0.009263017999998624,7.131721496582031,0.008786489414628406
8,15,4,24,200,480,2304000,0.11825851499999374,50.66387939453125,0.008838611185456702
10,20,4,30,400,800,9600000,0.6355578190000131,212.52896118164062,0.008829120025755016
